Ticker,Company,Currency,Exchange,Industry,Env_Grade,Env_Level,Soc_Grade,Soc_Level,Gov_Grade,Gov_Level,Env_Score,Soc_Score,Gov_Score,Total_Score,Total_Grade,Total_Level,ESG_Impact_Score,ESG_Risk_Level,Env_Score_Norm,Soc_Score_Norm,Gov_Score_Norm,Total_Score_Norm,Industry_Avg_Score,ESG_Score_Deviation
nlok,NortonLifeLock Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,BB,Medium,505.0,315.0,305.0,1125.0,BBB,High,375.0,Low Risk,0.5876685934489403,0.30571992110453655,0.5750000000000001,0.560897435897436,1031.3174603174602,93.68253968253975
ntrs,Northern Trust Corp,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,B,Medium,B,Medium,B,Medium,250.0,226.0,225.0,701.0,B,Medium,233.66666666666666,High Risk,0.09633911368015413,0.1301775147928994,0.375,0.10790598290598297,909.3333333333334,-208.33333333333337
nwl,Newell Brands Inc,USD,NASDAQ NMS - GLOBAL MARKET,Consumer products,A,High,BB,Medium,BB,Medium,525.0,303.0,315.0,1143.0,BBB,High,381.0,Low Risk,0.6262042389210019,0.2820512820512821,0.6,0.5801282051282052,945.55,197.45000000000005
nvda,NVIDIA Corp,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,BB,Medium,BB,Medium,B,Medium,323.0,301.0,275.0,899.0,BB,Medium,299.6666666666667,Medium Risk,0.23699421965317918,0.2781065088757397,0.5,0.31944444444444453,1030.5833333333333,-131.58333333333326
allk,Allakos Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,BB,Medium,200.0,273.0,300.0,773.0,BB,Medium,257.6666666666667,High Risk,0.0,0.22287968441814593,0.5625,0.18482905982905984,866.9107142857143,-93.91071428571433
nwsa,News Corp,USD,NASDAQ NMS - GLOBAL MARKET,Media,A,High,BB,Medium,BB,Medium,509.0,300.0,300.0,1109.0,BBB,High,369.6666666666667,Medium Risk,0.5953757225433525,0.27613412228796846,0.5625,0.5438034188034188,935.2608695652174,173.73913043478262
odfl,Old Dominion Freight Line Inc,USD,NASDAQ NMS - GLOBAL MARKET,Road and Rail,BBB,High,BBB,High,B,Medium,467.0,423.0,280.0,1170.0,BBB,High,390.0,Low Risk,0.5144508670520231,0.5187376725838264,0.5125000000000001,0.6089743589743591,1076.3333333333333,93.66666666666674
pcar,Paccar Inc,USD,NASDAQ NMS - GLOBAL MARKET,Machinery,A,High,BB,Medium,BB,Medium,568.0,343.0,305.0,1216.0,A,High,405.3333333333333,Low Risk,0.7090558766859345,0.3609467455621302,0.5750000000000001,0.6581196581196581,1048.047619047619,167.95238095238096
nxpi,NXP Semiconductors NV,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,A,High,BB,Medium,BB,Medium,505.0,329.0,305.0,1139.0,BBB,High,379.6666666666667,Low Risk,0.5876685934489403,0.3333333333333333,0.5750000000000001,0.5758547008547009,1030.5833333333333,108.41666666666674
orly,O'Reilly Automotive Inc,USD,NASDAQ NMS - GLOBAL MARKET,Retail,A,High,BB,Medium,BB,Medium,500.0,300.0,300.0,1100.0,BBB,High,366.6666666666667,Medium Risk,0.5780346820809248,0.27613412228796846,0.5625,0.5341880341880342,918.5769230769231,181.4230769230769
payx,Paychex Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,B,Medium,500.0,300.0,200.0,1000.0,BBB,High,333.3333333333333,Medium Risk,0.5780346820809248,0.27613412228796846,0.3125,0.4273504273504275,1031.3174603174602,-31.317460317460245
pfg,Principal Financial Group Inc,USD,NASDAQ NMS - GLOBAL MARKET,Insurance,A,High,BB,Medium,BB,Medium,555.0,320.0,300.0,1175.0,BBB,High,391.6666666666667,Low Risk,0.6840077071290944,0.3155818540433925,0.5625,0.6143162393162395,1012.3703703703703,162.62962962962968
rost,Ross Stores Inc,USD,NASDAQ NMS - GLOBAL MARKET,Retail,BB,Medium,BB,Medium,BB,Medium,375.0,325.0,300.0,1000.0,BBB,High,333.3333333333333,Medium Risk,0.3371868978805395,0.3254437869822486,0.5625,0.4273504273504275,918.5769230769231,81.4230769230769
sbac,SBA Communications Corp,USD,NASDAQ NMS - GLOBAL MARKET,Real Estate,B,Medium,B,Medium,B,Medium,250.0,251.0,215.0,716.0,B,Medium,238.66666666666666,High Risk,0.09633911368015413,0.17948717948717952,0.35,0.12393162393162394,995.9444444444445,-279.94444444444446
qcom,Qualcomm Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,BBB,High,BB,Medium,BB,Medium,409.0,300.0,300.0,1009.0,BBB,High,336.3333333333333,Medium Risk,0.40269749518304426,0.27613412228796846,0.5625,0.4369658119658121,1030.5833333333333,-21.583333333333258
pool,Pool Corp,USD,NASDAQ NMS - GLOBAL MARKET,Distributors,A,High,BB,Medium,BB,Medium,525.0,306.0,313.0,1144.0,BBB,High,381.3333333333333,Low Risk,0.6262042389210019,0.28796844181459574,0.595,0.5811965811965812,1109.6666666666667,34.33333333333326
pep,PepsiCo Inc,USD,NASDAQ NMS - GLOBAL MARKET,Beverages,AA,Excellent,BB,Medium,BB,Medium,719.0,340.0,358.0,1417.0,A,High,472.3333333333333,Low Risk,1.0,0.35502958579881655,0.7075,0.872863247863248,1061.0,356.0
sbux,Starbucks Corp,USD,NASDAQ NMS - GLOBAL MARKET,Hotels Restaurants and Leisure,BBB,High,BB,Medium,B,Medium,475.0,385.0,295.0,1155.0,BBB,High,385.0,Low Risk,0.5298651252408477,0.4437869822485207,0.55,0.592948717948718,918.8636363636364,236.13636363636363
reg,Regency Centers Corp,USD,NASDAQ NMS - GLOBAL MARKET,Real Estate,A,High,BB,Medium,BB,Medium,575.0,372.0,365.0,1312.0,A,High,437.3333333333333,Low Risk,0.7225433526011562,0.41814595660749515,0.725,0.7606837606837608,995.9444444444445,316.05555555555554
qrvo,Qorvo Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,A,High,BB,Medium,BB,Medium,535.0,310.0,305.0,1150.0,BBB,High,383.3333333333333,Low Risk,0.6454720616570329,0.2958579881656805,0.5750000000000001,0.5876068376068376,1030.5833333333333,119.41666666666674
ptc,PTC Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,BB,Medium,550.0,302.0,308.0,1160.0,BBB,High,386.6666666666667,Low Risk,0.6743737957610789,0.2800788954635109,0.5825,0.5982905982905983,1031.3174603174602,128.68253968253975
penn,PENN Entertainment Inc,USD,NASDAQ NMS - GLOBAL MARKET,Hotels Restaurants and Leisure,BB,Medium,BB,Medium,B,Medium,371.0,300.0,220.0,891.0,BB,Medium,297.0,Medium Risk,0.3294797687861271,0.27613412228796846,0.36250000000000004,0.3108974358974359,918.8636363636364,-27.863636363636374
pypl,PayPal Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,BB,Medium,B,Medium,B,Medium,370.0,244.0,285.0,899.0,BB,Medium,299.6666666666667,Medium Risk,0.327552986512524,0.16568047337278108,0.525,0.31944444444444453,1031.3174603174602,-132.31746031746025
regn,Regeneron Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,A,High,BB,Medium,BB,Medium,505.0,327.0,305.0,1137.0,BBB,High,379.0,Low Risk,0.5876685934489403,0.329388560157791,0.5750000000000001,0.5737179487179488,866.9107142857143,270.08928571428567
amgn,Amgen Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,A,High,BB,Medium,BB,Medium,575.0,312.0,328.0,1215.0,A,High,405.0,Low Risk,0.7225433526011562,0.2998027613412229,0.6325000000000001,0.657051282051282,866.9107142857143,348.08928571428567
snps,Synopsys Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,BB,Medium,525.0,316.0,315.0,1156.0,BBB,High,385.3333333333333,Low Risk,0.6262042389210019,0.30769230769230776,0.6,0.594017094017094,1031.3174603174602,124.68253968253975
stx,Seagate Technology Holdings PLC,USD,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,BB,Medium,540.0,355.0,300.0,1195.0,BBB,High,398.3333333333333,Low Risk,0.6551059730250481,0.38461538461538464,0.5625,0.6356837606837608,1031.3174603174602,163.68253968253975
tech,Bio-Techne Corp,USD,NASDAQ NMS - GLOBAL MARKET,Life Sciences Tools and Services,A,High,B,Medium,BB,Medium,510.0,268.0,300.0,1078.0,BBB,High,359.3333333333333,Medium Risk,0.5973025048169556,0.21301775147928997,0.5625,0.5106837606837608,993.125,84.875
ter,Teradyne Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,A,High,BB,Medium,BB,Medium,507.0,328.0,315.0,1150.0,BBB,High,383.3333333333333,Low Risk,0.5915221579961465,0.3313609467455622,0.6,0.5876068376068376,1030.5833333333333,119.41666666666674
swks,Skyworks Solutions Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,A,High,BB,Medium,B,Medium,515.0,303.0,270.0,1088.0,BBB,High,362.6666666666667,Medium Risk,0.6069364161849711,0.2820512820512821,0.48750000000000004,0.5213675213675214,1030.5833333333333,57.41666666666674
trmb,Trimble Inc,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,A,High,BBB,High,BB,Medium,550.0,415.0,315.0,1280.0,A,High,426.6666666666667,Low Risk,0.6743737957610789,0.5029585798816569,0.6,0.7264957264957265,933.0,347.0
trow,T Rowe Price Group Inc,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,A,High,BB,Medium,BB,Medium,510.0,325.0,310.0,1145.0,BBB,High,381.6666666666667,Low Risk,0.5973025048169556,0.3254437869822486,0.5875,0.5822649572649573,909.3333333333334,235.66666666666663
ttwo,Take-Two Interactive Software Inc,USD,NASDAQ NMS - GLOBAL MARKET,Media,B,Medium,BB,Medium,BB,Medium,225.0,307.0,310.0,842.0,BB,Medium,280.6666666666667,High Risk,0.048169556840077066,0.28994082840236685,0.5875,0.2585470085470086,935.2608695652174,-93.26086956521738
tsla,Tesla Inc,USD,NASDAQ NMS - GLOBAL MARKET,Automobiles,A,High,CCC,Low,B,Medium,555.0,160.0,278.0,993.0,BBB,High,331.0,Medium Risk,0.6840077071290944,0.0,0.5075000000000001,0.4198717948717948,859.25,133.75
tsco,Tractor Supply Co,USD,NASDAQ NMS - GLOBAL MARKET,Retail,A,High,BB,Medium,B,Medium,500.0,300.0,200.0,1000.0,BBB,High,333.3333333333333,Medium Risk,0.5780346820809248,0.27613412228796846,0.3125,0.4273504273504275,918.5769230769231,81.4230769230769
txn,Texas Instruments Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,A,High,BB,Medium,BB,Medium,500.0,300.0,300.0,1100.0,BBB,High,366.6666666666667,Medium Risk,0.5780346820809248,0.27613412228796846,0.5625,0.5341880341880342,1030.5833333333333,69.41666666666674
tmus,T-Mobile US Inc,USD,NASDAQ NMS - GLOBAL MARKET,Telecommunication,BB,Medium,BB,Medium,B,Medium,342.0,331.0,230.0,903.0,BBB,High,301.0,Medium Risk,0.27360308285163776,0.33727810650887574,0.38750000000000007,0.3237179487179488,928.3333333333334,-25.33333333333337
ual,United Airlines Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Airlines,B,Medium,B,Medium,B,Medium,205.0,203.0,221.0,629.0,B,Medium,209.66666666666666,High Risk,0.009633911368015391,0.08481262327416178,0.365,0.030982905982905984,838.7142857142857,-209.71428571428567
vrsk,Verisk Analytics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Professional Services,AA,Excellent,BB,Medium,BB,Medium,615.0,366.0,300.0,1281.0,A,High,427.0,Low Risk,0.7996146435452793,0.40631163708086787,0.5625,0.7275641025641028,1047.857142857143,233.1428571428571
ulta,Ulta Beauty Inc,USD,NASDAQ NMS - GLOBAL MARKET,Retail,B,Medium,B,Medium,B,Medium,205.0,242.0,200.0,647.0,B,Medium,215.66666666666666,High Risk,0.009633911368015391,0.1617357001972387,0.3125,0.05021367521367526,918.5769230769231,-271.5769230769231
vrtx,Vertex Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,A,High,BB,Medium,BB,Medium,500.0,300.0,300.0,1100.0,BBB,High,366.6666666666667,Medium Risk,0.5780346820809248,0.27613412228796846,0.5625,0.5341880341880342,866.9107142857143,233.08928571428567
vtrs,Viatris Inc,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,A,High,BB,Medium,B,Medium,500.0,300.0,200.0,1000.0,BBB,High,333.3333333333333,Medium Risk,0.5780346820809248,0.27613412228796846,0.3125,0.4273504273504275,903.6666666666666,96.33333333333337
vrsn,Verisign Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,BB,Medium,548.0,354.0,325.0,1227.0,A,High,409.0,Low Risk,0.6705202312138729,0.3826429980276134,0.625,0.669871794871795,1031.3174603174602,195.68253968253975
wba,Walgreens Boots Alliance Inc,USD,NASDAQ NMS - GLOBAL MARKET,Retail,A,High,BB,Medium,BB,Medium,515.0,325.0,300.0,1140.0,BBB,High,380.0,Low Risk,0.6069364161849711,0.3254437869822486,0.5625,0.576923076923077,918.5769230769231,221.4230769230769
ntap,NetApp Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,BB,Medium,545.0,359.0,325.0,1229.0,A,High,409.6666666666667,Low Risk,0.6647398843930636,0.3925049309664695,0.625,0.6720085470085472,1031.3174603174602,197.68253968253975
xel,Xcel Energy Inc,USD,NASDAQ NMS - GLOBAL MARKET,Utilities,B,Medium,B,Medium,B,Medium,223.0,201.0,205.0,629.0,B,Medium,209.66666666666666,High Risk,0.044315992292870865,0.08086785009861935,0.32499999999999996,0.030982905982905984,1190.6333333333334,-561.6333333333334
xray,DENTSPLY SIRONA Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,A,High,BB,Medium,BB,Medium,530.0,318.0,305.0,1153.0,BBB,High,384.3333333333333,Low Risk,0.6358381502890174,0.3116370808678501,0.5750000000000001,0.5908119658119658,938.7647058823529,214.23529411764707
zbra,Zebra Technologies Corp,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,BB,Medium,BB,Medium,BB,Medium,320.0,317.0,300.0,937.0,BBB,High,312.3333333333333,Medium Risk,0.23121387283236988,0.309664694280079,0.5625,0.360042735042735,933.0,4.0
aap,Advance Auto Parts Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Retail,B,Medium,B,Medium,B,Medium,264.0,261.0,210.0,735.0,B,Medium,245.0,High Risk,0.12331406551059726,0.1992110453648916,0.3375,0.14423076923076927,918.5769230769231,-183.5769230769231
zion,Zions Bancorporation NA,USD,NASDAQ NMS - GLOBAL MARKET,Banking,B,Medium,B,Medium,B,Medium,200.0,200.0,200.0,600.0,B,Medium,200.0,High Risk,0.0,0.07889546351084814,0.3125,0.0,898.3103448275862,-298.31034482758616
wynn,Wynn Resorts Ltd,USD,NASDAQ NMS - GLOBAL MARKET,Hotels Restaurants and Leisure,B,Medium,B,Medium,B,Medium,225.0,201.0,200.0,626.0,B,Medium,208.66666666666666,High Risk,0.048169556840077066,0.08086785009861935,0.3125,0.02777777777777779,918.8636363636364,-292.8636363636364
a,Agilent Technologies Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Life Sciences Tools and Services,A,High,B,Medium,B,Medium,573.0,231.0,233.0,1037.0,BBB,High,345.6666666666667,Medium Risk,0.71868978805395,0.14003944773175542,0.395,0.4668803418803419,993.125,43.875
abbv,Abbvie Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Biotechnology,A,High,BB,Medium,BB,Medium,505.0,317.0,300.0,1122.0,BBB,High,374.0,Low Risk,0.5876685934489403,0.309664694280079,0.5625,0.5576923076923078,866.9107142857143,255.08928571428567
abc,Amerisourcebergen Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Health Care,A,High,BB,Medium,BB,Medium,505.0,300.0,315.0,1120.0,BBB,High,373.3333333333333,Medium Risk,0.5876685934489403,0.27613412228796846,0.6,0.5555555555555557,938.7647058823529,181.23529411764707
adm,Archer-Daniels-Midland Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Food Products,A,High,BB,Medium,BB,Medium,587.0,353.0,305.0,1245.0,A,High,415.0,Low Risk,0.7456647398843932,0.3806706114398422,0.5750000000000001,0.6891025641025642,1131.0714285714287,113.92857142857133
abt,Abbott Laboratories,USD,"NEW YORK STOCK EXCHANGE, INC.",Health Care,A,High,BB,Medium,BB,Medium,515.0,305.0,305.0,1125.0,BBB,High,375.0,Low Risk,0.6069364161849711,0.28599605522682453,0.5750000000000001,0.560897435897436,938.7647058823529,186.23529411764707
aee,Ameren Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Utilities,A,High,BB,Medium,BB,Medium,562.0,345.0,300.0,1207.0,A,High,402.3333333333333,Low Risk,0.6974951830443161,0.3648915187376726,0.5625,0.6485042735042735,1190.6333333333334,16.36666666666656
aes,AES Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Utilities,A,High,BB,Medium,BB,Medium,525.0,326.0,370.0,1221.0,A,High,407.0,Low Risk,0.6262042389210019,0.3274161735700198,0.7375,0.6634615384615384,1190.6333333333334,30.36666666666656
afl,Aflac Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Insurance,BBB,High,BB,Medium,B,Medium,454.0,300.0,235.0,989.0,BBB,High,329.6666666666667,Medium Risk,0.489402697495183,0.27613412228796846,0.4,0.41559829059829057,1012.3703703703703,-23.370370370370324
acn,Accenture PLC,USD,"NEW YORK STOCK EXCHANGE, INC.",Technology,A,High,BB,Medium,BB,Medium,515.0,360.0,305.0,1180.0,BBB,High,393.3333333333333,Low Risk,0.6069364161849711,0.3944773175542407,0.5750000000000001,0.6196581196581198,1031.3174603174602,148.68253968253975
ajg,Arthur J. Gallagher & Co.,USD,"NEW YORK STOCK EXCHANGE, INC.",Insurance,A,High,BB,Medium,BB,Medium,530.0,344.0,310.0,1184.0,BBB,High,394.6666666666667,Low Risk,0.6358381502890174,0.3629191321499014,0.5875,0.623931623931624,1012.3703703703703,171.62962962962968
aiz,Assurant Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Insurance,BBB,High,BB,Medium,BB,Medium,438.0,316.0,300.0,1054.0,BBB,High,351.3333333333333,Medium Risk,0.45857418111753373,0.30769230769230776,0.5625,0.4850427350427352,1012.3703703703703,41.629629629629676
alk,Alaska Air Group Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Airlines,A,High,BB,Medium,B,Medium,515.0,303.0,259.0,1077.0,BBB,High,359.0,Medium Risk,0.6069364161849711,0.2820512820512821,0.45999999999999996,0.5096153846153847,838.7142857142857,238.28571428571433
alb,Albemarle Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Chemicals,A,High,BB,Medium,BB,Medium,545.0,322.0,315.0,1182.0,BBB,High,394.0,Low Risk,0.6647398843930636,0.31952662721893493,0.6,0.6217948717948719,1058.8947368421052,123.1052631578948
aig,American International Group Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Insurance,A,High,BB,Medium,BB,Medium,518.0,323.0,310.0,1151.0,BBB,High,383.6666666666667,Low Risk,0.6127167630057804,0.32149901380670615,0.5875,0.5886752136752137,1012.3703703703703,138.62962962962968
all,Allstate Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Insurance,A,High,BB,Medium,B,Medium,530.0,300.0,220.0,1050.0,BBB,High,350.0,Medium Risk,0.6358381502890174,0.27613412228796846,0.36250000000000004,0.4807692307692307,1012.3703703703703,37.629629629629676
alle,Allegion PLC,USD,"NEW YORK STOCK EXCHANGE, INC.",Building,A,High,BB,Medium,BB,Medium,542.0,322.0,315.0,1179.0,BBB,High,393.0,Low Risk,0.6589595375722543,0.31952662721893493,0.6,0.6185897435897437,1074.2,104.79999999999995
amp,Ameriprise Financial Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Financial Services,BB,Medium,BB,Medium,B,Medium,396.0,308.0,267.0,971.0,BBB,High,323.6666666666667,Medium Risk,0.3776493256262042,0.29191321499013806,0.48,0.3963675213675214,909.3333333333334,61.66666666666663
ame,AMETEK Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Electrical Equipment,A,High,BB,Medium,B,Medium,540.0,329.0,270.0,1139.0,BBB,High,379.6666666666667,Low Risk,0.6551059730250481,0.3333333333333333,0.48750000000000004,0.5758547008547009,933.0,206.0
amt,American Tower Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Real Estate,A,High,BB,Medium,BB,Medium,530.0,333.0,305.0,1168.0,BBB,High,389.3333333333333,Low Risk,0.6358381502890174,0.34122287968441817,0.5750000000000001,0.606837606837607,995.9444444444445,172.05555555555554
aos,A O Smith Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Building,A,High,BB,Medium,BB,Medium,510.0,315.0,310.0,1135.0,BBB,High,378.3333333333333,Low Risk,0.5973025048169556,0.30571992110453655,0.5875,0.5715811965811967,1074.2,60.799999999999955
apd,Air Products and Chemicals Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Chemicals,AA,Excellent,BBB,High,BB,Medium,700.0,442.0,300.0,1442.0,A,High,480.6666666666667,Low Risk,0.9633911368015415,0.5562130177514792,0.5625,0.8995726495726496,1058.8947368421052,383.1052631578948
aon,Aon PLC,USD,"NEW YORK STOCK EXCHANGE, INC.",Insurance,BBB,High,BB,Medium,B,Medium,485.0,304.0,288.0,1077.0,BBB,High,359.0,Medium Risk,0.5491329479768785,0.2840236686390533,0.5325,0.5096153846153847,1012.3703703703703,64.62962962962968
anet,Arista Networks Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Communications,BBB,High,BB,Medium,B,Medium,444.0,310.0,295.0,1049.0,BBB,High,349.6666666666667,Medium Risk,0.4701348747591522,0.2958579881656805,0.55,0.47970085470085466,938.2222222222222,110.77777777777783
aph,Amphenol Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Electrical Equipment,A,High,BB,Medium,BBB,High,512.0,303.0,475.0,1290.0,A,High,430.0,Low Risk,0.6011560693641618,0.2820512820512821,1.0,0.7371794871794873,933.0,357.0
ato,Atmos Energy Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Utilities,A,High,BB,Medium,BB,Medium,572.0,368.0,315.0,1255.0,A,High,418.3333333333333,Low Risk,0.7167630057803469,0.4102564102564103,0.6,0.6997863247863249,1190.6333333333334,64.36666666666656
awk,American Water Works Company Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Utilities,AA,Excellent,BB,Medium,BB,Medium,653.0,395.0,300.0,1348.0,A,High,449.3333333333333,Low Risk,0.8728323699421965,0.46351084812623283,0.5625,0.7991452991452993,1190.6333333333334,157.36666666666656
are,Alexandria Real Estate Equities Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Real Estate,AA,Excellent,BB,Medium,BB,Medium,600.0,337.0,345.0,1282.0,A,High,427.3333333333333,Low Risk,0.7707129094412333,0.349112426035503,0.675,0.7286324786324788,995.9444444444445,286.05555555555554
aptv,Aptiv PLC,USD,"NEW YORK STOCK EXCHANGE, INC.",Auto Components,A,High,BB,Medium,BB,Medium,555.0,339.0,310.0,1204.0,A,High,401.3333333333333,Low Risk,0.6840077071290944,0.35305719921104545,0.5875,0.6452991452991453,833.3333333333334,370.66666666666663
avb,Avalonbay Communities Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Real Estate,A,High,BB,Medium,B,Medium,500.0,300.0,298.0,1098.0,BBB,High,366.0,Medium Risk,0.5780346820809248,0.27613412228796846,0.5575,0.532051282051282,995.9444444444445,102.05555555555554
avy,Avery Dennison Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Packaging,A,High,BB,Medium,BB,Medium,535.0,347.0,325.0,1207.0,A,High,402.3333333333333,Low Risk,0.6454720616570329,0.36883629191321504,0.625,0.6485042735042735,1156.0,51.0
ba,Boeing Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Aerospace and Defense,B,Medium,B,Medium,B,Medium,220.0,224.0,235.0,679.0,B,Medium,226.33333333333334,High Risk,0.03853564547206162,0.12623274161735704,0.4,0.08440170940170943,1089.7,-410.70000000000005
bac,Bank of America Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Banking,B,Medium,BB,Medium,B,Medium,220.0,394.0,265.0,879.0,BB,Medium,293.0,Medium Risk,0.03853564547206162,0.4615384615384616,0.475,0.29807692307692313,898.3103448275862,-19.310344827586164
bax,Baxter International Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Health Care,A,High,BB,Medium,BB,Medium,500.0,316.0,300.0,1116.0,BBB,High,372.0,Medium Risk,0.5780346820809248,0.30769230769230776,0.5625,0.5512820512820514,938.7647058823529,177.23529411764707
bbwi,Bath & Body Works Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Retail,A,High,BB,Medium,BB,Medium,525.0,303.0,300.0,1128.0,BBB,High,376.0,Low Risk,0.6262042389210019,0.2820512820512821,0.5625,0.5641025641025642,918.5769230769231,209.4230769230769
bdx,Becton Dickinson and Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Health Care,AA,Excellent,BB,Medium,BB,Medium,607.0,384.0,315.0,1306.0,A,High,435.3333333333333,Low Risk,0.7842003853564548,0.4418145956607496,0.6,0.7542735042735044,938.7647058823529,367.2352941176471
bio,Bio Rad Laboratories Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Life Sciences Tools and Services,B,Medium,B,Medium,BB,Medium,275.0,227.0,300.0,802.0,BB,Medium,267.3333333333333,High Risk,0.14450867052023114,0.13214990138067062,0.5625,0.21581196581196582,993.125,-191.125
bby,Best Buy Co Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Retail,BBB,High,B,Medium,BB,Medium,430.0,231.0,300.0,961.0,BBB,High,320.3333333333333,Medium Risk,0.44315992292870904,0.14003944773175542,0.5625,0.38568376068376076,918.5769230769231,42.423076923076906
bk,Bank of New York Mellon Corp,USD,"NEW YORK STOCK EXCHANGE, INC.",Financial Services,A,High,BB,Medium,BB,Medium,500.0,300.0,300.0,1100.0,BBB,High,366.6666666666667,Medium Risk,0.5780346820809248,0.27613412228796846,0.5625,0.5341880341880342,909.3333333333334,190.66666666666663
axp,American Express Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Financial Services,B,Medium,B,Medium,B,Medium,230.0,226.0,208.0,664.0,B,Medium,221.33333333333334,High Risk,0.05780346820809246,0.1301775147928994,0.3325,0.06837606837606836,909.3333333333334,-245.33333333333337
br,Broadridge Financial Solutions Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Technology,A,High,BB,Medium,BB,Medium,550.0,313.0,325.0,1188.0,BBB,High,396.0,Low Risk,0.6743737957610789,0.3017751479289941,0.625,0.6282051282051283,1031.3174603174602,156.68253968253975
bmy,Bristol-Myers Squibb Co,USD,"NEW YORK STOCK EXCHANGE, INC.",Pharmaceuticals,A,High,BB,Medium,BB,Medium,500.0,321.0,310.0,1131.0,BBB,High,377.0,Low Risk,0.5780346820809248,0.3175542406311637,0.5875,0.5673076923076924,903.6666666666666,227.33333333333337
bro,Brown & Brown Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Insurance,BBB,High,BB,Medium,BB,Medium,405.0,320.0,300.0,1025.0,BBB,High,341.6666666666667,Medium Risk,0.394990366088632,0.3155818540433925,0.5625,0.4540598290598291,1012.3703703703703,12.629629629629676
azo,Autozone Inc,USD,"NEW YORK STOCK EXCHANGE, INC.",Retail,B,Medium,B,Medium,B,Medium,260.0,222.0,213.0,695.0,B,Medium,231.66666666666666,High Risk,0.11560693641618497,0.12228796844181461,0.345,0.10149572649572647,918.5769230769231,-223.5769230769231
